,贾宝玉,贾母,王熙凤,林黛玉,薛宝钗,王夫人,袭人,贾政,贾琏,平儿,史湘云,薛姨妈,贾探春,紫鹃,尤氏,李纨,鸳鸯,邢夫人,贾珍,周瑞
贾宝玉,0,495,227,654,363,269,516,256,34,29,109,57,66,108,21,49,49,21,22,5
贾母,495,0,516,189,148,355,97,181,96,40,81,132,51,48,70,52,149,99,51,8
王熙凤,227,516,0,89,78,247,40,22,180,220,29,49,43,5,127,82,97,92,25,40
林黛玉,654,189,89,0,312,62,93,15,11,4,135,29,69,210,4,39,18,7,0,3
薛宝钗,363,148,78,312,0,136,141,9,8,17,106,128,60,7,18,43,16,12,2,7
王夫人,269,355,247,62,136,0,73,77,43,24,16,69,18,10,36,38,19,100,15,9
袭人,516,97,40,93,141,73,0,15,1,53,38,10,14,42,15,9,23,3,1,7
贾政,256,181,22,15,9,77,15,0,88,1,3,12,8,1,4,1,5,15,36,2
贾琏,34,96,180,11,8,43,1,88,0,77,0,16,2,3,8,3,18,14,60,10
平儿,29,40,220,4,17,24,53,1,77,0,10,1,26,0,16,23,35,17,0,12
史湘云,109,81,29,135,106,16,38,3,0,10,0,23,31,8,11,18,12,2,0,0
薛姨妈,57,132,49,29,128,69,10,12,16,1,23,0,5,3,7,7,16,12,0,7
贾探春,66,51,43,69,60,18,14,8,2,26,31,5,0,15,16,72,6,2,0,3
紫鹃,108,48,5,210,7,10,42,1,3,0,8,3,15,0,2,23,4,1,0,2
尤氏,21,70,127,4,18,36,15,4,8,16,11,7,16,2,0,40,13,35,52,3
李纨,49,52,82,39,43,38,9,1,3,23,18,7,72,23,40,0,8,15,1,1
鸳鸯,49,149,97,18,16,19,23,5,18,35,12,16,6,4,13,8,0,19,1,0
邢夫人,21,99,92,7,12,100,3,15,14,17,2,12,2,1,35,15,19,0,9,2
贾珍,22,51,25,0,2,15,1,36,60,0,0,0,0,0,52,1,1,9,0,9
周瑞,5,8,40,3,7,9,7,2,10,12,0,7,3,2,3,1,0,2,9,0
